绑工资卡可以分期吗,绑可以分期
这是怎么减50的,这是怎么减50
好的主要是不送啥地,主要是不送啥地
原机有耳机吗,原机有耳机
那帮我改一下单子吧不要赠送的礼品不分期,那帮改一下单子
如果马上下单什么时候发货,马上下单时候发货
苹果x可以抵多少钱,可以抵多少钱
128G1458起最高减30当天发送壕礼Huawei华为nova3i手机官方旗舰店正品官网2sp20promatenova4,最高减30当天发送壕礼2sp20promatenova4
华为nova3i是这个,nova3i是这个
我不要移动全网通的你帮我备注一下饿,不要移动全网通你帮备注一下
6g64g的,6g64g
而且我也不是移动号码,也不是移动号码
这我知道有没有单纯全网通的,我知道有没有全网通
移动定制款支持电信3g和4g吧,款支持3g
那就是使用电信卡没有问题了,那就是使用电信卡
使用花呗没有礼物,使用没有礼物
主要想要个保温杯,主要想要个保温杯
已经下单了估计什么时候发货啊,已经下单估计时候发货
都是什么礼品,都是什么礼品
不要礼品1400可以吗,1400可以
那就多送点东西呗再,多送点东西再
那iPhone8p和7p有什么优惠吗,有什么优惠
P20pro有优惠吗,pro有优惠
我有捡的苹果6sp可以换不,我有可以换不
套餐八就是礼品对吧,八就是礼品对
不用坏了换新的,不用坏换新
不啦摔了就换新手机,啦摔就换新手机
手机刚收到还没拆开,刚收到没拆开
补发物流单号发给我就行,补发发给就行
这个发票怎么弄阿,发票怎么弄阿
怎么叫它没反应,怎么叫没反应
这个可以放内存卡吗,可以放内存卡
现在国家不是下了禁止令吗,不是下禁止令
如果真的犯法就是知法犯法了很严重的,犯法就是知法犯法很严重
你会不会保释我出来呀,不会保释我出来
我就是提出疑问啊,我就是提出疑问
坐牢我家里会打死我,坐牢会打死我
那你就是心里有鬼,你就是心里有鬼
犯法了我们的聊天可以作为证据吗,犯法可以作为证据
那个手机是不是有优惠卷,手机是不是有优惠卷
能不能发一下,能不能发一下
你好我问一下,你好我问一下
这两个有什么不一样吗,个有什么不一样
如果出现问题我可以拒签是吧,如果出现问题拒签是
你们发什么快递啊,你们发什么快递
现在价格怎么比双十二还便宜一块钱,便宜一块钱
XS可以优惠多少,可以优惠多少
我们公司要购买荣耀7c和畅享8e332g各3台你这能询价吗需要盖公司公章的,要购买荣耀7c
我这是公司性质购买非个人,这是性质购买非个人
算了不用改了谢谢,不用改谢谢
还没有收到货你看你这边召回下,没有收到货你看这边召回下
如果到了我直接拒收,如果到直接拒收
这个为什么签收都没电话,为什么签收都没电话
我这边已经申请退货了,已经申请退货
为啥还没上路啊顺丰不是挺快的吗,没上路顺丰不是挺快
好吧有点着急,好有点着急
不是说送耳机吗,不是说送耳机
是不是买464要送礼品12选1那个,是不是买464要送礼品12选1那个
我的还没有发货现在给你说有不有用,没有发货说有不有用
坏了又换华为手机值得信赖,坏又换华为手机值得信赖
只要发出来是好的就好,只要发出来是好就好
为什么没有充电宝呢,为什么没有充电宝
黑鲨防水不,黑鲨防水不
你怎么知道是不是液体侵入呢,怎么知道是不是液体侵入
我想买个可以防水的,我想买可以防水
怎么到手价2299呢,怎么到手价2299
6128G的下来多少钱,下来多少钱
mate20UD和不是普通的区别,mate20UD和不是区别
全网通的64g能便宜一点不,能便宜一点不
可以给我看看我还有多久发货吗,看看我还有多久发货
嗯嗯我叫我爸爸看一下要哪款哈,嗯嗯我叫看一下要款哈
这个8X不自带耳机的吗,不自带耳机
标配里没有啊只有你们送的耳机,里没有耳机
之前那个7本身带耳机你们还送一个耳机,本身带耳机还送一个耳机
他自己最后确定要哪款,最后确定要哪款
我爸爸还没回来呢出去玩了,没回来出去玩
发货地是哪儿的,发货地是哪儿
好的发什么快递,发什么快递
绿屏问题有没有保障,问题有没有保障
送的东西有选择吗,东西有选择
屏幕坏了送你店换还是附近售后点换,屏幕坏送店换还是点换
4GB版本12选1里面的第12项游戏手柄有图片吗,12选游戏手柄有图片
我在深圳你们有深圳直接发货的仓库吧,你们有仓库
这个现在有优惠么,现在有优惠
这个是透明的还是磨砂的,这个是还是磨砂
手机差价是50是吧,差价是50是
大盖多久退差价,多久退差价
不行竖着做也可以,不行竖做也可以
今天我把充电宝寄过去换无线充电器,寄过去换无线充电器
新手机没有电,新手机没有电
这个可以控制什么,可以控制什么
我一直以为这是个听音乐的东西,一直以为这是东西
家里有小孩我想让小孩听音乐,家里有小孩我想让听音乐
这个可以随身携带,可以随身携带
我要买的话买那个,要买买那个
我要做礼物明天要送,要做礼物要送
我怕来不及,我怕来不及
你好物品显示未发货请问发货了吗,物品显示未发货
不知道是没货吗大约什么时候有货,不知道是没货
例如我说一个句子它可以准确地帮我翻译正确的语法吗,我说帮翻译语法
有没有什么视频中英翻译的可以让我看看嘛,有可以让看
那我如何能测试它翻译的准确性呢,能测试准确性
官方标配都是带什么,都是带什么
我看不明白你就直接给我说一下有什么吧,我看不明白说一下有什么
你好r有现货吗256的,r有现货256
花呗只有3000,花呗只有3000
可以首付多点可以吗,可以首付点可以
花呗3000,花呗3000
我没有信用卡,我没有信用卡
花呗不够怎样分期啊,花呗不够怎样分期
这个也可以补差价吗,可以补差价
多少我补不可以吗,我补不可以
不用花呗能优惠1000吗,不用花呗能优惠1000
有啥赠品呢我想买一个499的2个299的3个99的,我想买个99
掌柜我拍了1个499的2个299的只优惠130呢还差30噢,掌柜我拍还差30噢
还有你家99的比别家贵10元呢我想要三个别家还有赠送插座,还有我想要家还有赠送插座
都是天猫精灵噢,都是精灵噢
那个299的不能拍2个优惠60,能拍优惠60
我开始退出然后登陆了,我开始退出
怎么减150,怎么减150
我没有优惠呢,我没有优惠
我没有分期啊,我没有分期
礼品是什么呀,礼品是什么
ud版蓝色有现货嘛,蓝色有现货
ud蓝色128g有现货吗,128g有现货
你们这是移动定制版啊,这是定制版
双卡双待有问题,双待有问题
店家你好我双12买的手机大约什么时候能发货给您添麻烦了,店家你好能发货给您添麻烦
不用发货了哈谢谢,不用发货哈谢谢
上海市松江区方松街道城市科技学校,上海市松江区方松街道城市科技学校
我以为有记录,我以为有记录
我看看对比下价格先,我看看价格先
可以优惠不,可以优惠不
X多少钱65GXS多少钱64G,X65GXS64G
我这个手机是移动定制机,手机是定制机
手机上我不想有移动的标志,不想有标志
开机也不希望有,开机不希望有
更新系统手机里的移动开机显示还有吗,开机显示还有
还有一个问题移动的标志是镭射到外壳的还是就有一个手机贴纸,还有是镭射到外壳就有一个手机贴纸
我就是说移动定制的话外壳上移动的标志是镭射到手机外壳的吗,标志是镭射到手机外壳
还是就是个贴纸死掉就没了,还是就是贴纸死掉
我问一下我这个手机的听筒出问题了保修一年的那我该怎样去保修呢,我问一下听筒出问题
你好手机里面送的二维码是什么东西啊,二维码是什么东西
你们的充电器有问题啊,充电器有问题
一会别人在帮我qianhw,在帮qianhw
另一个号说了,另一个号说
明天发货行吗,明天发货行
我刚才找了4个人,刚才找4个人
你看看我下的多少台一共,你看看台一共
你看不见订单呢,你看不见订单
我下了怎么能提前给我发你,我下能提前给我发你
你看下订单,你看下订单
我刚才一共定了12台啊,一共定12台
我一会让被人找你在下4台8256,一会让找你4台8256
明天不发明天我就退了,不发明天就退
因为时间来不及,时间来不及
我当然希望你发,当然希望你发
你不发我肯定退款哦,不发肯定退款哦
你的明天给我明天发货阿,明天发货阿
刚才又抢了2个8256绿,又抢8256绿
要不你给我发256,你给我发256
明天不行fw,明天不行fw
不发我退款,不发我退款
这款是苹果几,这款是苹果几
亲现在天猫精灵有优惠吗,精灵有优惠
一直没看到过稍等我朋友会我问下他晚点在说,没看到我问下
好像开不了我考虑考虑,好像开不了我考虑考虑
我买了你家的带充电底座的精灵可是为啥没有冲电底座的充电用具,我买了精灵没有冲充电用具
您好是正品行货吧不是翻新机吧还有送什么,您好是正品行货不是机吧还有送什么
不要了谢谢是代别人买的,谢谢是代买
备注无线充怎么又送了充电宝,无线充又送充电宝
我第一次不是说过了,次不是说过
什么时候发货等急用,时候发货急用
我买的手机有钢化膜和手机套送吗,手机有钢化膜送
怎么没手机套,怎么没手机套
麻烦您帮忙看看能不能尽快发货啊周三要出差了,麻烦您帮忙看看尽快发货
手机使用寿命正常多少年,手机使用寿命多少年
分六期付款手续费是多少,手续费是多少
我想问十二期,我想问十二期
前几个月分期还如果钱够了可以后边全部一次性给还完吗,钱够一次性给还完
标配就是有耳机,就是有耳机
亲能不能送个充电宝呢,不能送充电宝
那个移动电源是多少毫安的,电源是多少毫安
10400毫安的,10400毫安
除了充电宝还有什么送吗,还有什么送
尽快给我发货我现在下单了,发货现在下单
尽快安排发货,尽快安排发货
oppok1,oppok1
暂时没有必要,暂时没有必要
我的花呗额度是2700可以分期吗,额度是可以分期
买的小米6x收到了可是里面怎么有几个定好的闹钟呢早上五点半就响了,6x收到怎么有闹钟就响
我不知道是满多少可以送,不知道是满多少
写的10选二没写多少钱10选二,10选二没写多少钱10选二
除了粉色其他所有机型都是10选二,都是10选二
碎屏险单子是什么样的,单子是什么样
这个耳机有开关吗,耳机有开关
没有开关怎么用,没有怎么用
你好确认收货啦怎么反200,你好确认收货啦
现在人不能没有手机呀,不能没有手机
可以送数据线吗,可以送数据线
typec的,typec
多送一条可以吗,多送一条可以
手机还没收到发票已经收到了真快但是我发票是要开公司,还没收到发票已经收到真快
我1500,我1500
你套餐8那个碎屏保是不是官方的,那个碎屏保是不是官方
套餐8都包括什么呀,都包括什么
配置不太懂只要操作用着很顺畅不卡就行,配置太懂操作用很顺畅
因为老人原来用的就是中兴的所以怕他操作不习惯我打算还给他买中兴的,所以怕他操作
那还是1198那个吧我怕太便宜用着卡,我怕便宜用卡
我过几天买,我过几天买
那个套餐价格不一样是因为啥啊,一样是因为啥
套餐12345,套餐12345
我拍的手机会不会绿屏,会不会绿屏
绿屏怎么办,绿屏怎么办
我申请退款了,我申请退款
我可不想买绿屏,可不想买绿屏
我看你家评价也不好,我看家评价也不好
那我要礼品然后一次性付款呢,我要礼品一次性付款
我第一次买检查有一点问题我都会退比如摄像头有灰尘被人激活过开机有黑白点,次买检查有一点问题都会退摄像头有灰尘激活开机
到时候买了联系你在另一家买他没有当天发货我给退款了,买了联系买他
现在买可以发货吗,现在买可以发货
这个是多大平的啊,这个是多大平
要是分半年付款是不是得多好几百,要是分半年付款是不是多好几百
没花呗就是付半年多多少钱,就是付多少钱
主要是不送耳机,主要是不送耳机
激活开始算保修的,激活开始算保修
今天能发货吧急用,能发货急用
务必今天发货急用,今天发货急用
有没有发票,有没有发票
你帮我问下仓库呗看看发没,你帮问下仓库呗看看发没
这个要遥控电器还得配合别的东西是吧,要遥控电器得配合别的东西是
不要了手机是那起来听歌的,手机是那起来
老板包装盒上有序列码吗,包装盒上有序列码
我不开封先查一下序列号如未激活过我就收货反之我要求退货可以吗,不开封先查一下序列号如未激活
保修期是激活日期开始后一年吗,保修期是激活日期
好的苹果应该是激活时间,应该是激活时间
苹果惯例不是应该激活时间开始算保修期吗你的是官换机吗,惯例不是应该激活时间
好送什么礼品,好送什么礼品
我手上一个三年多了不知道摔几次没坏过屏,不知道摔几次
好的谢谢你芍药,谢谢你芍药
网上说不支持,网上说不支持
我就说嘛昨天我的秘密是没有记错呢,就说秘密是没有记错
刚刚拿到货,刚刚拿到货
回寝室在打开看啦,回在打开看
你看看是不是一样的,你看看是不是一样
和我要拍这个一样吧,要拍这个一样
华为太多了眼花了,华为太多眼花
不能要移动版,不能要移动版
我付款后告诉你不要定制版吧,后告诉定制版
一定要备注不要移动版啊,一定要移动版
这款手机有什么解锁方式呀,手机有解锁方式
前面还是后面呀,前面还是后面
下单了有没有赠品呀,下单有没有赠品
怎么没有7S啊,怎么没有7S
8e是什么解锁方式,8e是解锁方式
我怎么没看见8e后置指纹解锁呀,没看见8e
我分不清哪款是7S哪款是8e,我分不清款是款是8e
哪里是后置指纹解锁,哪里是指纹解锁
32G的具体是什么配置啊,具体是什么配置
有人脸识别解锁,脸识别解锁
8e有哪几种解锁方式啊,8e有解锁方式
机身是什么材质,机身是什么材质
后壳不是玻璃吧,后壳不是玻璃
手柄送一个,手柄送一个
8的只有一个手柄,只有一个手柄
那个左边摇杆那个,左边摇杆那个
七天无理由退货吗,无理由退货
这个手柄打王者买装备移动不了怎么解决,手柄打王者买装备移动不了怎么解决
能今天发货就下单不能就不浪费时间,今天发货就下单不浪费时间
没有送手机膜和手机壳吗,没有送手机膜
手机速发货我给老师买的他要出门,速发货要出门
9p请问后壳是玻璃瓶吗,壳是玻璃瓶
你打电话给我们说什么评价,你打电话说什么评价
都送什么东西,都送什么东西
额度1400,额度1400
我花呗现在好像还不能用,我花呗不能用
不用了到货联系你们返款是吧,到货联系返款是
这个几个套餐有什么区别啊,套餐有什么区别
小米NOTE5,小米NOTE5
这个是6S,这个是6S
亲我也是做淘宝的呵呵,亲也是做呵呵
我是卖机械的,我是卖机械
我看有的有问题售后找不到人了,我看有的有问题
到货如果我检查质量不通过可以退货吗,到货我检查质量不通过可以退货
如果包装拆了你们回认可吗,包装拆你们回认可
意思就是到货看外观是否完好但不能开机检查是吗,意思就是到货
忘了手机本来就是坏了所以才要买的手机打不开,忘本来就是坏手机打不开
看来网上买不了,网上买不了
我在找看好不好分期,在找看好不好分期
你发给我一个连接,你发给一个连接
这好像不是分期了,好像不是分期
可以选天猫精灵和无线充电器吗,可以选猫精灵
我想要mate20pro,我想要mate20pro
会出现绿屏吗,会出现绿屏
我华为不激活能退货吗,不激活能退货
你备注一下,你备注一下
碎屏保要钱吗,碎屏保要钱
这上面不是38,上面不是38
算了有钢化膜就行,算了有钢化膜就行
我拿到手看看情况,我拿到手看看情况
这个酷维无线充电器可以充20pro吗,可以充20pro
几点之前发不出去就表示今天那不出去了啊,之前发不出去就表示不出去
就是说屏保不是在售后保的,屏保不是在售后
东西已经收到请问一下这个盒子还要用网线连接网络不能直接连接WiFi,已经收到请问一下连接网络
那这个要多少钱,这个要多少钱
这样我还以会有灯泡送哪哎,会有灯泡送哪哎
全款能优惠多少,能优惠多少
我全额付款不分期付,全额付款不分期付
华为事件发酵苹果手机还好卖,事件发酵苹果手机还好卖
我不要礼品,我不要礼品
可以开增值税专用发票吗,可以开增值税专用发票
能给双十二价格吗,能给双十二价格
清晰度不行啊,清晰度不行
这是什么版,这是什么版
这是什么机,这是什么机
这是官换机吗,这是官换机
那为什么有差评,为什么有差评
那就是你们没有什么问题,那就是你们没有什么问题
那为什么比店铺便宜那么多,便宜那么多
产品有个角落已经掉漆了,产品有已经掉漆
不小心联网了,不小心联网
这个我不太需要补多两年碎屏险可以吗,太需要屏险可以
我有蓝牙音响了,我有蓝牙音响
碎屏险我买了一年,碎屏险我买了一年
就是加上我自己买的共两年,就是加上两年
你和店主协商下可否,协商下可否
那我还不如给你差评,还不如差评
就是20块钱还不如我直接点差评,还不如直接点差评
我看快递里只有一个天猫精灵啊,我看里只有猫精灵
那等于说那个还没到,那等于说还没到
那我也看不了记录发到哪了,也看不了记录发到哪
官网也查不出来,也查不出来
老板那么多赠品我不要寄回去能返100元不,不要寄回去能返100元不
您理解我问题了吗,您理解我问题
那能退多少,那能退多少
运动肩带我用不上无线充电器我也有,肩带用不上无线充电器也有
你说个价格,你说个价格
直接Wifl吗,直接Wifl
咋装上手机啊,咋装上手机
你都没送有手机套,没送有手机套
怎么激活不了,怎么激活不了
昨天我买了一个都899今天怎么888,我买了都899
新机得保修到期日期应该是明年12月中旬,应该是12月中旬
我是15号激活得应该是到明年12月14号,我是15号激活应该是到14号
手机壳都没有把屏幕包完钢化膜贴上还有白边保温杯一看质量就很差都不敢用,都没有包完膜贴上
我是说有白边,我是说有白边
6258现在是6198,现在是6198
我没收到膜跟壳,我没收到膜跟壳
礼品是含膜跟壳吗,礼品是含膜跟壳
昨天和今天一直没发货不要了,没发货不要
顺风没上门收件给我退了,没上门收件退
不要扫码了你直接取消吧等了那么都没发,不要扫码直接取消吧没发
五点之前不发货你给我退回,不发货退回
已经撒回了五点之前不扫描发货你给退回,已经撒回不扫描发货你给退回
大概要多久修好可以问问吗,多久修好可以问问
那边修手机的说让你通过一下审核,说让通过一下审核
那边打电话来说手机收到了让你们审核通过一下,那边打电话手机收到让审核
高电量自动关机,高电量自动关机
更新了系统也这样,更新也这样
魅蓝note5,魅蓝note5
当地没有专卖店,当地没有专卖店
回寄原因写什么,原因写什么
回寄地址是写我的地址吗,地址是写地址
耳机有电流声,耳机有电流声
左耳有右耳没有是怎么回事,左耳有右耳没有是怎么回事
3到5工作日是什么时候啊,是什么时候
上次买了到现在有十天了,上次买了到现在有十天
为什么还要到3到5工作日啊,到5工作日
我买的时候你们说到了就返回给我,你们说到就返回给我
现在怎么要这么长时间,怎么要长时间
我买了这么多天我不催你们也不打给我就当没这回事情你们这样很不好,我买多天不催你们不打给就当很不好
你很会狡辩可以直接退到我银行卡呀,会狡辩直接退到我银行卡
其它店铺都可以支持就你们店不可以支持狡辩,可以支持可以支持狡辩
后天如果还没有返现我再联系你们,没有返现再联系你们
魅蓝note6,魅蓝note6
重新发充电器吗,重新发充电器
上周就坏掉额,上周就坏掉额
不愿意补发,不愿意补发
我现在是退货的我不想用了,现在是退货不想用
扣30是吧行我同意,是吧行我同意
如果可以你就把869反回来不行那我就还要我的899,就把869反回来
在哪改869,哪改869
我是按这个买的啊50的券不能算在里面啊,我是不能算在里面
那就应该返我100啊,应该返我100
我买了券是我的事原本说不要礼品1399也是可以用券的,我买券是事原本说可以用券
应该还是默认1499可以用券啊,还是默认可以用券
原本是1599说按1499卖我买到券与这无关,原本是1599说无关
那怎么一开始不说清,一开始不说清
前面说了1399也可以用我说11点我去抢客服也说好的,前面说说去抢客服
后来一会儿就说不可以我也就算了,就说也就算
我以为默认还是可以用券不算在里面的,我以为默认不算在里面
那怎么不说清楚,怎么不说清楚
没说啥到手价不到手价的,没说不到手价
好吧现在就是你说啥是啥了,现在就是说啥是啥
你店铺券说不能用我拍的时候就是应该不让用,时候就是不让用
我按1499拍能有券就是我的事你还是按1499卖给我的,能有券就是你还是1499卖给我
那这样我有病才买券啊,我有病才买券
我多花1元钱买个券脑子肯定坏了,多花1元钱脑子肯定坏
原本1399答应给我的回头一个小时不到就变卦,1399答应不到
我看着有券才买的不然大家基本都是1499我何必看你们变卦了还买谁知道最后还搞这个乌龙,我看有券都是何必看你们变卦
跟你也说不清了我去确认你返吧把1块钱买券的也还我,也说不清去确认你返吧还我
手机收到耳塞孔不好耳机插进去又弹出来沒声音,手机收到耳机插进去又弹出来沒声音
插进去了沒有声音,插进去沒有声音
开始接触不良有时有声音最后怎么插没声音了,开始有时有声音怎么插没声音
也试了我用我这个s6耳机有声音,也试有声音
你这个6T没声音,6T没声音
那我快递给你,我快递给你
快递费归你出吗,快递费归你出
我换个手机好了,我换个手机好
手机已贴了钢化馍,已贴钢化馍
就把手机寄来其它不用寄了吧,寄来其它不用寄
有质量问题这么麻烦谁以后还相信网购,有这么麻烦还相信网购
我日尼玛手机换个还这么麻烦坑爹,手机换个这么麻烦坑爹
以后有机会还会来喔,以后有机会来喔
还是激活不了,还是激活不了
在哪里能添加截图的图片,能添加图片
无法连接到iphone因无法接通服务器请将iphone了解到iTunes来进行激活,无法连接到iphone请了解到iTunes
手机是复新机,手机是复新机
那怎么回事,那怎么回事
他们说是复新机必须刷机,他们说是复新机
现在就偷换概念了,就偷换概念
还好有截图,还好有截图
还是淘宝第一次赠品要讨还要发截图佐证的贵店的服务真是提高顾客水准,要讨还要发服务真是提高顾客水准
你给我满意方案我现在没时间合理我就采纳不合理找天猫投诉,现在没时间就采纳合理找天猫
如果多给东西我给好评否则实话实说,多给东西否则实话实说
那怎么这个保修期那么短还有手机里面有图片呢,那么短还有里面有图片
手机是在12月05号买的怎么11月30号呢,手机是11月30号呢
按不到十次就没反应了遥控,就没反应遥控
前列腺按摩椅,前列腺按摩椅
手机没有耳机转换器吗,手机没有耳机转换器
为什么序列号不行呀,序列号不行
不是慢是直接显示没有还是说这台机器以前有人用过,慢是直接显示
用了几个小时其它没有问题,用其它没有问题
嗯嗯可能是用的手机查的吧,可能是手机查
还有那个电子发票还没过来,还有没过来
嗯嗯那麻烦你们发一下,嗯嗯那麻烦你们发一下
但是拆开包装并没有,但是拆开包装并没有
我维修时拿什么凭证,时拿什么凭证
并没有给我发票,没有给发票
我这已经三天了并没有给我电子发票,没有给电子发票
核对完了没有,核对完了没有
什么时候发给我,时候发给我
还是发我短信上吧太麻烦了,还是发太麻烦
拿这个就可以去维修对吗,拿去维修对
刚收到手机不能开机,刚收到不能开机
手机左侧上面的开关有用吗,开关有用吗
但是后来撤销了退款,后来撤销退款
并且关闭退款成功了,并且关闭退款成功
客服没告诉我要拦截,没告诉要拦截
但是退款关闭了,但是退款关闭
货还没能收到,还没能收到
这个货就不要啦那我点退款吧,不要啦点退款
我这边点退款还是退货退款,还是退货退款
货不在她手里,货不在她手里
还在开机有点慢,在开机有点慢
前面设置全部跳过没事吧,前面设置全部跳过
手机还没收到老婆说她不想要我到时候拒签,还没收到老婆说不想要到时候拒签
我是现在申请退款还是等拒签了在申请退款,我是现在申请退款
她说她不想要了,她说不想要
她说她不想要我上个月在你家才买了台,她说才买台
拒签为什么还要18,为什么还要18
那我收到了再寄给你们还有运费险那我到时候退,我收到再寄给
我还是第一次听说拒签还要费用的,第一次听说拒签还要费用
那你就不要拦截我到时候拒签就可以了,不要拦截到时候拒签
我也是给老婆买的她不想要我留着也没用,买不想要留
我直接拒签顺丰直接会退回去吧,直接拒签直接会退回去
搞不懂你们我收到后在退回去你们也出了一次运费这样你们还是出了一次怎么就不能拒签呢,也出一次运费还是出一次不能拒签
用了好几部苹果都没有这种情况啊,用都没有种情况
上个月还买了部也不是这样啊,也不是这样
你们准备怎么处理,你们准备怎么处理
人家贴膜的人说新手机怎么有个划痕,人说怎么有个划痕
只能拍到这种地步了,只能拍到种地步
重点是划痕,重点是划痕
我正要激活手机他说新手机怎么有划痕,正要激活手机他说怎么有划痕
我去修也不止20元吧,去修也不止20元
你们核实有什么用现在是怎么处理这个划痕手机我还没激活,你们核实有什么是怎么处理划痕手机
那你可以问下快递昨天我是本人签收的吗我今天刚拿到的,我是本人签收刚拿到
20块钱你告诉我去哪里可以修,你告诉去哪里
主要是拍不清楚,主要是拍不清楚
我拍照你也能看清楚的,我拍照能看清楚
那么明显看不到,明显看不到
你们说怎么处理吧,你们说怎么处理
20块钱我去哪能修好,我去哪能修好
我这里没有官方售后,这里没有官方售后
常熟这里有官方售后吗,这里有官方售后
我在常熟市东张镇,我在常熟市东张镇
如果远的话就回寄过去,就回寄过去
我回寄回去邮费你们出吧,我回寄回去邮费你们出
肯定不是人为的,肯定不是人为
今天会寄出寄到后麻烦速度处理维修时注意保护手机隐私数据不要产生二次手机故障,会寄出后麻烦速度处理维修
收到货后联系我解锁,后联系解锁
已经寄出去了,已经寄出去
密码锁041011,密码锁041011
我现在先给个人开票信息不行,开票信息不行
回头帮我开这种电子发票,回头帮开电子发票
充电器怎么充电,充电器怎么充电
那个声纹绑定好我的以后别人叫它他还是会答应,声纹绑定好别人叫它会答应
我只想让它听我的,只想让听我
意思就是没有这个功能啊,意思就是没有这个功能
那那个声纹是干嘛的,声纹是干嘛
那它唱歌的时候我喊它她也没反应是正常的吗他唱起歌以后停不下来,我喊反应是正常以后停不下来
怎么知道是24G的,怎么知道是24G
好的现在试试看,现在试试看
换了卡也是不行微信视频可以打微信电话缺没只能听到对方的声音打手机电话也是只有按免提了双方才可以听到,换也是可以打微信电话
那我先在当地看一下吧毕竟几天没手机有点不方便,看一下几天没手机有点不方便
传话器坏了方便修么,器坏方便修
我手机发短信什么都不显示别人能收到,不显示能收到
但是我收不到别人发的而且我这没有记录,我收不到别人发
你有华为客服么,你有华为客服
官方标配有什么送的,标配有什么送
50延迟发货10元贴膜破损,延迟发货贴膜破损
摄像头遮住了,摄像头遮住
图片你自己看差别太大,看差别太大
感觉变成惨绿色的了你说看着瘆人不,感觉变成惨绿色你说看瘆人
赠送那个话费是免费100,是免费100
能够点就是不能滑,点就是不能滑
点一下还有语音,点还有语音
这个怎么回事,这个怎么回事
解锁都点不出来了,都点不出来
恢复了手机上什么都没有了是吧,恢复都没有是
也不知道怎么点到了,不知道怎么点到
正面回答下,正面回答下
发全网通别是移动版的,通别是移动版
我双卡移动联通联通上网,双卡移动联通上网
发全网通不发移动版以免退换货,发不发移动版以免退换货
不挣了那就换吧补20今天能发货吧,不挣就换补能发货
移动营业厅,移动营业厅
没有插耳机显屏有耳机标实怎么回事,没有插耳机显屏有标实怎么回事
重启就关机开不了,重启就关机开不了
没插耳机有耳机标实,没插耳机有耳机标实
现在变这个了,现在变这个
手机有问题,手机有问题
标识和信号,标识和信号
重启就开不了机了,重启就开机
发货了告诉我下,发货告诉下
你这手机掉价了我退货吧,手机掉价我退货
可以吧不要钱了,可以吧不要钱
这是啥意思,这是啥意思
点到中文怎么退,点到怎么退
按完是这样的,按完是这样
在吗这个机子后面电流声好严重特别是靠近摄像头的位置,声好严重是靠近摄像头位置
电流声不是震动,声不是震动
我这是新机子啊就送去检测,这是新机子就送去检测
我没时间啊亲,我没时间啊亲
送是什么保护膜啊刚刚口袋拿出来居然坏了,送是什么保护膜口袋拿出来居然坏
我拆下拍你看看边上一个缺口,拆下拍看看一个缺口
今天激活不了就退了吧,今天激活不了就退
都发了不要浪费时间,都发不要浪费时间
每次都是这种信息,都是这种信息
密码身份证都发了今天帮我激活,都发今天帮激活
如果不行就申请退款了,就申请退款
他说发你现在,他说发你现在
都试了没用用退了吧,都试没用用
发票抬头可以换成单位吗,发票抬头可以换成单位
杭州钦方电子设备有限公司,杭州钦方电子设备有限公司
确实不错不愧是黑鲨游戏手机,不愧是游戏手机
刚才拍了一个精灵没有细看直接选的标配刚刚发现你们的套餐有礼品送的不知道现在能不能选呢现在应该还没有发货吧,刚才拍一个精灵没有细看刚刚发现套餐有礼品
另外想问一下没有详细研究过天猫精灵看了下X1是价格是最贵的和其他两款功能上区别大吗,另外想问一下详细研究猫精灵看1是
都没提示天猫精灵收索设备找不到魔盒,没提示设备找不到魔盒
只可以正常看电视,正常看电视
晚点在试试不行在联系你们,在试试在联系你们
不先還是沒聲音,還是沒聲音
不行還是沒聲音,不行還是沒聲音
它可以聽到我的聲音但我聽不到他的聲音,可以聽到聲音我聽不到聲音
可重啟但還是很安靜,可重啟很安靜
我早上聽歌聽到一半叫它就沒聲音了,早上聽歌一半叫就沒聲音
已经断网几次了,已经断网几次
星期二拿到的新机几天之内就断网几次,星期二拿到就断网几次
这是双卡吗移动跟联通都可以用不,这是双卡吗可以用不
能多送一张贴膜吗,多送张贴膜
手机没问题就是赠品质量不好,没问题就是质量不好
第二次在你们这买手机了跟第一次送的东西差好多,东西差好多
无所谓了就是不太舒服,无所谓就是太舒服
无所谓了大钱都花了还在意这个小钱吗只是吐槽一下还有送的卡我以为是充值卡被我扔了,无所谓都花还在意这个小钱只是吐槽一下还有卡我以为是扔
没事的我本来就是无限流量,本来就是无限流量
那个章盖在哪里,章盖在哪里
我的问题就是明天中午十二点之前能不能送到,问题就是能不能送到
我十二点钟半的飞机要去其他地方,要去其他地方
我怕十二点不得到,我怕点不得到
不好意思啊我明天七点钟就要走了改飞机了没办法只能退货了,就要走改飞机没办法只能退货
实在是不好意思,实在是不好意思
怎么发给你,怎么发给你
我现在发给你就蒙退款了吗,现在发给你就蒙退款
你们就寄到我家去拿给我爷爷用吧,就寄到我家去拿给爷爷用
我刚刚申请退货了你自己弄一下,刚刚申请退货弄一下
我已经撤销申请退款了,已经撤销申请退款
你们还是得尽量在十二点之前送到,还是得送到
我这边已经撤销申请退款了,已经撤销申请退款
是不是有问题,是不是有问题
以前买过一个就没有问题,以前买就没有问题
这个是刚买的连不上,这个是连不上
但就是连不上,但就是连不上
要不给我换一个是不是有问题,换是不是有问题
连不上回家我自己家也不行,连不上回家也不行
